Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,0,0.4300388325191031,0,0,1,0.0008393798997189758,0,2
3,1,0.5866215708380308,1,0,1,0.0011450090505050867,0,0
2,0,0.7745208568207441,0,0,1,0.0015117640314484206,0,2
3,0,0.3360891895277465,0,0,1,0.0006560024092473089,0,0
3,1,0.27345609420017536,1,1,1,0.0005337507489328647,0,0
3,0,0.17324314167606164,0,0,1,0.00033814809242975344,0,0
3,1,0.3736690467242891,0,0,1,0.0007293534054359758,0,2
2,0,0.32356257046223225,1,1,1,0.0006315520771844202,0,0
3,1,0.22334961793811847,0,0,1,0.000435949420681309,0,1
3,0,0.26092947513466114,2,0,0,0.0005093004168699757,0,0
3,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,0
1,0,0.5740949517725166,0,0,1,0.0011205587184421981,0,0
1,1,0.2859827132656896,1,0,1,0.0005582010809957534,2,0
2,0,0.7870474758862583,1,0,1,0.001536214363511309,0,0
1,1,0.5866215708380308,1,0,0,0.0011450090505050867,5,0
2,1,0.2985093323312038,1,0,0,0.0005826514130586424,0,1
2,0,0.4363021420518602,0,0,1,0.0008516050657504203,0,2
3,0,0.26092947513466114,0,0,1,0.0005093004168699757,0,1
3,1,0.3360891895277465,1,0,0,0.0006560024092473089,0,0
3,1,0.5615683327070023,0,0,1,0.0010961083863793091,0,1
1,0,0.6868345233621446,1,0,0,0.001340611707008198,0,1
3,0,0.11061004634849056,0,1,0,0.00021589643211530896,0,0
1,1,0.3721801035613681,0,0,0,0.0007264471819317893,0,0
1,0,0.26092947513466114,0,1,0,0.0005093004168699757,0,1
1,1,0.599148189903545,1,3,0,0.001169459382567976,2,1
3,0,0.6242014280345735,1,0,0,0.0012183600466937536,0,0
1,1,0.27345609420017536,0,1,1,0.0005337507489328647,2,1
3,0,0.2797194037329325,0,0,1,0.0005459759149643089,0,1
1,0,0.5114618564449455,0,0,1,0.0009983070581277534,1,0
3,0,0.3721801035613681,2,0,1,0.0007264471819317893,0,1
2,0,0.6242014280345735,1,0,0,0.0012183600466937536,0,0
2,0,0.2985093323312038,2,0,0,0.0005826514130586424,0,0
3,1,0.4112489039208317,1,2,0,0.0008027044016246424,0,0
3,1,0.3721801035613681,1,2,0,0.0007264471819317893,0,0
1,0,0.3736690467242891,1,0,1,0.0007293534054359758,3,1
3,0,0.2296129274708756,0,0,1,0.00044817458671275344,0,1
3,1,0.3721801035613681,0,0,1,0.0007264471819317893,0,0
3,1,0.26092947513466114,0,0,1,0.0005093004168699757,0,0
3,0,0.311035951396718,0,0,1,0.0006071017451215313,0,0
3,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,0
3,0,0.4864086183139171,0,1,1,0.0009494063940019758,0,1
1,0,0.3721801035613681,0,0,1,0.0007264471819317893,4,0
3,0,0.5114618564449455,0,0,0,0.0009983070581277534,0,0
2,1,0.3736690467242891,0,0,1,0.0007293534054359758,0,0
1,1,0.5615683327070023,1,0,1,0.0010961083863793091,4,0
3,0,0.311035951396718,0,0,0,0.0006071017451215313,0,0
1,0,0.5615683327070023,0,0,0,0.0010961083863793091,1,1
3,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,2
1,1,0.7494676186897157,0,0,1,0.0014628633673226426,4,1
3,1,0.4488287611173744,0,2,0,0.000876055397813309,0,0
1,0,0.2985093323312038,1,0,1,0.0005826514130586424,3,0
2,0,0.3360891895277465,0,0,0,0.0006560024092473089,0,1
2,1,0.2484028560691469,2,1,1,0.0004848500848070868,0,0
1,1,0.3486158085932607,3,2,1,0.000680452741310198,3,0
2,0,0.3721801035613681,0,0,0,0.0007264471819317893,0,1
3,0,0.12313666541400475,4,1,1,0.00024034676417819786,0,2
3,0,0.4363021420518602,0,0,1,0.0008516050657504203,0,0
3,0,0.311035951396718,0,0,1,0.0006071017451215313,6,0
3,0,0.3721801035613681,1,0,1,0.0007264471819317893,0,0
1,1,0.4488287611173744,0,0,0,0.000876055397813309,2,1
3,0,0.21082299887260428,0,0,1,0.00041149908861842007,0,0
2,0,0.3987222848553175,0,0,1,0.0007782540695617535,0,0
3,0,0.22334961793811847,0,0,1,0.000435949420681309,0,0
3,1,0.27345609420017536,0,0,1,0.0005337507489328647,0,2
1,0,0.16071652261054742,2,2,0,0.0003136977603668645,2,1
2,1,0.3721801035613681,0,0,0,0.0007264471819317893,0,0
3,1,0.22334961793811847,0,0,1,0.000435949420681309,0,2
1,0,0.5866215708380308,0,0,1,0.0011450090505050867,0,0
1,0,0.3861956657898033,0,0,1,0.0007538037374988644,3,1
1,1,0.7494676186897157,1,4,1,0.0014628633673226426,3,0
3,1,0.2985093323312038,0,0,1,0.0005826514130586424,0,2
3,0,0.26092947513466114,0,0,1,0.0005093004168699757,0,0
3,1,0.3611424276587749,0,0,1,0.0007049030733730867,0,0
1,0,0.3548791181260178,0,0,0,0.0006926779073416424,4,1
1,1,0.4363021420518602,0,0,1,0.0008516050657504203,3,1
1,0,0.4049855943880746,0,0,1,0.0007904792355931978,3,1
3,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,0
1,1,0.6868345233621446,2,0,1,0.001340611707008198,3,0
2,0,0.3736690467242891,0,0,1,0.0007293534054359758,0,0
3,1,0.2985093323312038,0,0,1,0.0005826514130586424,0,2
3,0,0.0730301891519479,1,1,1,0.00014254543592664228,0,1
1,0,0.8371539521483151,1,0,0,0.0016340156917628648,3,0
1,0,0.6116748089690592,0,0,1,0.0011939097146308644,0,0
3,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,0
2,0,0.3721801035613681,0,0,1,0.0007264471819317893,0,2
3,0,0.3721801035613681,1,0,1,0.0007264471819317893,0,1
3,1,0.3360891895277465,0,0,1,0.0006560024092473089,0,2
